Mile,Minute,Runners,Half
25,116,730,730
0,118,710,0
1,118,20,0
2,118,0,0
3,118,0,0
4,118,80,80
5,118,350,320
6,118,1210,1050
7,118,2300,1830
8,118,770,0
9,118,550,0
10,118,630,0
11,118,600,0
12,118,550,0
13,118,460,0
14,118,320,0
15,118,240,0
16,118,130,0
17,118,70,0
18,118,80,0
19,118,20,0
20,118,10,0
21,118,10,0
22,118,10,0
23,118,0,0
24,118,1250,1250
25,118,680,680
0,120,700,0
1,120,20,0
2,120,0,0
3,120,0,0
4,120,70,70
5,120,260,230
6,120,1110,1020
7,120,2120,1640
8,120,740,0
9,120,510,0
10,120,630,0
11,120,610,0
12,120,550,0
13,120,490,0
14,120,350,0
15,120,250,0
16,120,140,0
17,120,100,0
18,120,90,0
19,120,10,0
20,120,10,0
21,120,10,0
22,120,10,0
23,120,10,0
24,120,1400,1400
25,120,680,680
0,122,700,0
1,122,20,0
2,122,0,0
3,122,0,0
4,122,40,40
5,122,200,170
6,122,1050,980
7,122,1880,1470
8,122,730,0
9,122,550,0
10,122,600,0
11,122,570,0
12,122,580,0
13,122,470,0
14,122,420,0
15,122,240,0
16,122,180,0
17,122,90,0
18,122,100,0
19,122,20,0
20,122,20,0
21,122,10,0
22,122,10,0
23,122,10,0
24,122,1330,1330
25,122,760,760
0,124,680,0
1,124,30,0
2,124,0,0
3,124,0,0
4,124,30,30
5,124,160,150
6,124,960,890
7,124,1680,1350
8,124,700,0
9,124,600,0
10,124,540,0
11,124,610,0
12,124,540,0
13,124,490,0
14,124,480,0
15,124,240,0
16,124,210,0
17,124,100,0
18,124,70,0
19,124,70,0
20,124,20,0
21,124,10,0
22,124,10,0
23,124,0,0
24,124,1360,1350
25,124,880,880
0,126,670,0
1,126,40,0
2,126,0,0
3,126,0,0
4,126,20,20
5,126,130,120
6,126,840,780
7,126,1370,1130
8,126,690,0
9,126,580,0
10,126,530,0
11,126,620,0
12,126,550,0
13,126,510,0
14,126,440,0
15,126,300,0
16,126,240,0
17,126,140,0
18,126,60,0
19,126,90,0
20,126,10,0
21,126,10,0
22,126,10,0
23,126,10,0
24,126,1310,1300
25,126,990,990
0,128,650,0
1,128,50,0
2,128,0,0
3,128,0,0
4,128,0,0
5,128,120,120
6,128,630,560
7,128,1350,1150
8,128,590,0
9,128,620,0
10,128,600,0
11,128,570,0
12,128,550,0
13,128,510,0
14,128,430,0
15,128,340,0
16,128,230,0
17,128,150,0
18,128,110,0
19,128,90,0
20,128,0,0
21,128,20,0
22,128,10,0
23,128,10,0
24,128,1330,1320
25,128,1190,1190
